bin_low,bin_high,bin_center,dsigma_ddphi_pb_per_rad,error_pb_per_rad
0.000000,0.157080,0.078540,0.00000000,0.00000000
0.157080,0.314159,0.235619,0.00000000,0.00000000
0.314159,0.471239,0.392699,0.00000000,0.00000000
0.471239,0.628319,0.549779,73.21019157,73.21019157
0.628319,0.785398,0.706858,0.00000000,0.00000000
0.785398,0.942478,0.863938,0.00000000,0.00000000
0.942478,1.099557,1.021018,0.00000000,0.00000000
1.099557,1.256637,1.178097,0.00000000,0.00000000
1.256637,1.413717,1.335177,0.00000000,0.00000000
1.413717,1.570796,1.492257,0.00000000,0.00000000
1.570796,1.727876,1.649336,0.00000000,0.00000000
1.727876,1.884956,1.806416,0.00000000,0.00000000
1.884956,2.042035,1.963495,73.21019157,73.21019157
2.042035,2.199115,2.120575,-73.21019157,73.21019157
2.199115,2.356194,2.277655,73.21019157,73.21019157
2.356194,2.513274,2.434734,73.21019157,73.21019157
2.513274,2.670354,2.591814,73.21019157,73.21019157
2.670354,2.827433,2.748894,219.63057471,126.80377143
2.827433,2.984513,2.905973,0.00000000,146.42038314
2.984513,3.141593,3.063053,4612.24206883,682.85920731
