bin_low,bin_high,bin_center,lo_val,lo_err,lo_scale_env_low,lo_scale_env_high,nlo_val,nlo_err,nlo_scale_env_low,nlo_scale_env_high,kfactor,kfactor_joint_scale_env_low,kfactor_joint_scale_env_high
0.0,10.0,5.0,0.1,0.0009999999999999627,0.09999999999999999,0.1,0.08995669553630825,0.0014492254079557763,0.0868957023225663,0.09192897184601054,nan,nan,nan
10.0,20.0,15.0,0.0,0.0,0.0,0.0,-0.0015156562291806788,0.00041904549051990426,-0.0019770048578050567,-0.0012220187426163812,nan,nan,nan
20.0,30.0,25.0,0.0,0.0,0.0,0.0,-0.000532978014656942,0.00033227743742933827,-0.0006914883572561538,-0.000432250597163788,nan,nan,nan
30.0,40.0,35.0,0.0,0.0,0.0,0.0,0.0002831445702865004,0.0002531426407989462,0.00023408550111936807,0.00035870452294844686,nan,nan,nan
40.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0002331778814124121,0.00021067805863877263,0.00019133112728238124,0.0002972142694189524,nan,nan,nan
50.0,60.0,55.0,0.0,0.0,0.0,0.0,0.0005996002664890598,0.00018695823051832771,0.000484525019698004,0.0007802120717051337,nan,nan,nan
60.0,70.0,65.0,0.0,0.0,0.0,0.0,0.0005163224516989126,0.00018015745880064279,0.00041265738289141544,0.0006790629676391554,nan,nan,nan
70.0,80.0,75.0,0.0,0.0,0.0,0.0,0.0007994670219854129,0.0001508225372774195,0.000649706497899806,0.001034614211574448,nan,nan,nan
80.0,90.0,85.0,0.0,0.0,0.0,0.0,0.0005996002664890598,0.0001332445036642069,0.0004849509944833475,0.0007802763975467271,nan,nan,nan
90.0,100.0,95.0,0.0,0.0,0.0,0.0,0.0006662225183211775,0.0001332445036642069,0.0005407483260446574,0.0008623811141669705,nan,nan,nan
100.0,110.0,105.0,0.0,0.0,0.0,0.0,0.0007161892071952658,0.00011894451080183115,0.0005741449118089186,0.0009392885653363848,nan,nan,nan
110.0,120.0,115.0,0.0,0.0,0.0,0.0,0.0007161892071952658,0.00011172891293301992,0.0005728346328791469,0.0009398438680102174,nan,nan,nan
120.0,130.0,125.0,0.0,0.0,0.0,0.0,0.0007161892071952658,0.00011658894070618105,0.0005760972420468674,0.0009350128660249383,nan,nan,nan
130.0,140.0,135.0,0.0,0.0,0.0,0.0,0.0006329113924051186,0.00010267178552578601,0.0005098261335092333,0.0008250537471974037,nan,nan,nan
140.0,150.0,145.0,0.0,0.0,0.0,0.0,0.000532978014656942,9.711778638981611e-05,0.0004288663738206938,0.0006951706834975305,nan,nan,nan
150.0,160.0,155.0,0.0,0.0,0.0,0.0,0.0005163224516989126,9.567892482573624e-05,0.0004114044967477348,0.0006807616949676697,nan,nan,nan
160.0,170.0,165.0,0.0,0.0,0.0,0.0,0.0006329113924051186,0.00010267178552578601,0.0005076598403638672,0.0008266907742287259,nan,nan,nan
170.0,180.0,175.0,0.0,0.0,0.0,0.0,0.0005163224516989126,9.273424988056818e-05,0.0004149121227100276,0.0006735519496136231,nan,nan,nan
180.0,190.0,185.0,0.0,0.0,0.0,0.0,0.0004663557628248242,8.813295506543153e-05,0.00037159016185919265,0.0006138168726205846,nan,nan,nan
190.0,200.0,195.0,0.0,0.0,0.0,0.0,0.00036642238507664763,7.812151498705585e-05,0.0002960871066548912,0.0004743742011879687,nan,nan,nan
200.0,210.0,205.0,0.0,0.0,0.0,0.0,0.00044970019986679486,8.654484381588892e-05,0.0003617446163984971,0.0005850816002143549,nan,nan,nan
210.0,220.0,215.0,0.0,0.0,0.0,0.0,0.0002998001332445299,7.066356907259737e-05,0.00024324330866314984,0.0003859668648581229,nan,nan,nan
220.0,230.0,225.0,0.0,0.0,0.0,0.0,0.00011658894070620605,4.4066477532715764e-05,9.438056680273917e-05,0.00015050277787979782,nan,nan,nan
230.0,240.0,235.0,0.0,0.0,0.0,0.0,0.0002165223184543827,6.005248626688093e-05,0.00017441765209926492,0.00028081643088703827,nan,nan,nan
240.0,250.0,245.0,0.0,0.0,0.0,0.0,0.00019986675549635324,5.7696562543925956e-05,0.00015812623017152737,0.0002645826888898777,nan,nan,nan
250.0,260.0,255.0,0.0,0.0,0.0,0.0,0.00014990006662226495,4.9966688874077596e-05,0.0001196503015554626,0.0001963093409968931,nan,nan,nan
260.0,270.0,265.0,0.0,0.0,0.0,0.0,0.000266489007328471,6.662225183210346e-05,0.0002112821928915363,0.00035146983492112527,nan,nan,nan
270.0,280.0,275.0,0.0,0.0,0.0,0.0,4.996668887408831e-05,2.8848281271962978e-05,3.9204312982053136e-05,6.662975700021126e-05,nan,nan,nan
280.0,290.0,285.0,0.0,0.0,0.0,0.0,0.00014990006662226495,4.9966688874077596e-05,0.00011908954314513888,0.00019711144485910577,nan,nan,nan
290.0,300.0,295.0,0.0,0.0,0.0,0.0,8.327781479014719e-05,3.724297097767331e-05,6.637662671919194e-05,0.00010925809843083225,nan,nan,nan
300.0,310.0,305.0,0.0,0.0,0.0,0.0,9.993337774817662e-05,4.0797630625963805e-05,7.938267746773838e-05,0.00013136518360239857,nan,nan,nan
310.0,320.0,315.0,0.0,0.0,0.0,0.0,3.331112591605888e-05,2.3554523024199124e-05,2.6894292026049498e-05,4.298935380723417e-05,nan,nan,nan
320.0,330.0,325.0,0.0,0.0,0.0,0.0,1.665556295802944e-05,1.6655562958025864e-05,1.3800444947661054e-05,2.0883581407928224e-05,nan,nan,nan
330.0,340.0,335.0,0.0,0.0,0.0,0.0,8.327781479014719e-05,3.724297097767331e-05,6.642215074207775e-05,0.000109172768232715,nan,nan,nan
340.0,350.0,345.0,0.0,0.0,0.0,0.0,0.00011658894070620605,4.4066477532715764e-05,9.076807300210762e-05,0.0001568920405597031,nan,nan,nan
350.0,360.0,355.0,0.0,0.0,0.0,0.0,6.662225183211775e-05,3.331112591605173e-05,5.311011352551349e-05,8.736762068520997e-05,nan,nan,nan
360.0,370.0,365.0,0.0,0.0,0.0,0.0,3.331112591605888e-05,2.3554523024199124e-05,2.505382081566695e-05,4.660079034565624e-05,nan,nan,nan
370.0,380.0,375.0,0.0,0.0,0.0,0.0,1.665556295802944e-05,1.6655562958025864e-05,1.3839302952892005e-05,2.0827132199941816e-05,nan,nan,nan
380.0,390.0,385.0,0.0,0.0,0.0,0.0,4.996668887408831e-05,2.8848281271962978e-05,3.9896440715502536e-05,6.531173363248416e-05,nan,nan,nan
390.0,400.0,395.0,0.0,0.0,0.0,0.0,8.327781479014719e-05,3.724297097767331e-05,6.718695432630826e-05,0.00010762107139940549,nan,nan,nan
